county,2005,2006,2007,2008,2009,2010,2011,2012,2013
350424,4,3,,1,,1,,,
350425,,,1,,,,,,
350426,,,,,,,,,1
350428,1,2,,,,,,,
350429,,2,,,,,,,
350430,1,2,1,,,,,,
350481,,2,,,,,,,
350502,,,1,,,,,,
350503,,,,1,,,,,
350504,1,1,,2,,,,,
350507,,,,,,3,,,
350521,,,,,,1,1,,
350524,3,5,11,,1,,,,
350525,,,3,1,,,,,
350581,,1,,,,,,,
350582,4,1,1,1,1,2,,,
350583,6,13,3,3,3,,,,
350721,,,,,,,1,,
350723,,,1,2,1,,,,
350781,,,3,,1,,,,
350784,,,,,1,,,,
350802,,,3,,,,,,
350821,3,3,5,,3,,,,
350823,,4,,,,,,,
350824,1,,1,1,,,,,
350825,1,2,2,,,,,2,
350902,,,,1,,,,,
350922,,1,,,,,,,
350924,,,2,,,,,,
350925,,,1,,,,,,
350981,,1,3,,,1,,,
351028,,,,,,,,1,
360102,,,,,1,,,2,
360103,1,,,1,,,,,
360104,,,2,,,1,,,
360111,,,1,1,,,,,
360121,1,2,2,,1,,1,,
360122,,2,1,3,,2,,,
360124,2,,1,2,1,,1,1,
360281,1,,2,,1,,1,,
360302,,,,,,1,1,,1
360313,2,1,1,,3,1,1,,
360321,3,1,2,2,,1,,1,1
360322,2,4,1,2,1,,2,,
360323,1,,,,1,2,,,1
360421,,,,1,,,,,
360423,,,,1,,,,,
360424,2,,2,1,1,1,,,1
360425,2,,,,,,,,
360427,,,,,1,,,,1
360428,7,1,,2,,1,3,,
360429,,,,,,,1,,
360430,,1,,,,,,,
360481,2,2,1,,2,1,,,
360502,1,,,,1,,,,
360521,,1,,1,2,,,,
360602,,,1,,,,,,
360622,1,1,,,,,1,,
360681,1,1,1,1,,1,,,
360702,1,1,,3,1,2,1,1,
360721,1,2,4,2,1,,,,
360722,3,5,3,2,,1,1,,
360723,,,2,1,1,,,,
360724,1,,1,,,,,1,
360726,,,,3,2,,,,
360727,,2,,,1,,2,,
360728,1,,,,,,,,
360730,1,,1,1,1,1,1,1,
360731,2,4,,4,4,3,2,3,
360732,2,2,4,,,2,2,,
360733,,1,,2,1,1,,,1
360734,4,,,,,,,1,
360735,1,1,,,1,,,,
360781,4,3,3,1,2,,1,3,3
360782,5,2,,2,1,1,1,,2
360802,,,1,,,,1,,
360803,1,,,3,,,1,,
360821,,,,,1,1,,,
360822,,2,,,1,,,,1
360823,1,1,1,,,,,,
360824,2,,1,,,,1,,
360825,6,2,3,,,,,,
360826,3,2,3,4,2,2,2,1,
360827,,,1,,,,,,1
360828,3,2,1,2,,,,,
360829,1,4,2,2,2,1,1,1,2
360830,2,1,2,4,1,3,1,1,
360881,,1,,,,,,1,
360902,2,3,3,1,3,,5,2,1
360921,,,,1,,,,,
360922,1,3,2,5,2,7,4,,
360923,2,,,,,,,,
360925,,,,,,1,,,
360981,4,5,3,2,2,,,,1
360982,,1,,,1,2,,,
360983,3,2,1,,1,3,,,
361002,3,,1,,,,1,1,
361021,1,,,,,,,,
361022,2,,,,,,,,
361023,,1,,,1,,,,
361024,,,,,,,1,,
361025,,2,,,1,,,,
361027,,,,,1,,,,
361029,2,1,,,,,,,
361030,,,1,,,,,,
361102,1,,,,,,,,
361121,2,5,6,4,1,,1,,
361122,1,5,2,,1,,,,
361123,2,5,,,2,,1,,
361124,2,1,1,3,,,,,
361125,1,1,,,,,,,
361126,2,,2,1,,,,,
361127,1,,,1,,2,1,1,
361128,1,1,2,,4,3,,1,
361129,,1,,,,,,,
361130,,,3,2,1,,,,
361181,3,,,,,,,,
370102,,,1,,,,,,
370104,,,,,1,,1,,
370105,,1,,1,,,,,1
370112,,,2,,1,,1,,2
370113,,,,,2,,,,
370124,,,,,,,,1,
370125,,4,3,,,3,2,1,
370126,,,3,1,,1,,,1
370181,,,1,,,,1,,
370199,,,1,,,,,,
370212,,,,,,,1,,
370213,,,,,,1,,,
370281,,,,,,,,1,1
370282,,,,,,,2,2,2
370283,,,,,,2,6,4,1
370284,,,,,,1,3,1,
370285,,,,1,2,,1,1,4
370303,,,,,1,,,,
370305,,1,,,,,,,
370321,,,,,,,,1,
370322,,,,,,1,,,
370323,,,1,5,,,,1,
370402,1,1,1,5,1,,1,,1
370403,1,,1,1,,,,,
370404,,1,,,1,,,1,1
370405,,1,,1,,,,,1
370406,3,1,1,1,1,,,,
370481,2,2,6,1,3,6,1,1,
370502,,,,1,,,,,
370521,,,,,,1,,,2
370522,,,,,3,,1,,
370523,,,,1,2,,,,
370602,,,,,2,2,1,1,
370611,,,,1,1,1,,,
370612,,,1,1,2,2,1,,
370613,,,,3,,1,,,
370614,,,,,,1,,,
370682,,,,1,3,,4,3,2
370683,,,,,,,,,1
370684,,,,1,1,,,,
370685,,,,,,,1,1,
370686,,,,2,1,1,2,,
370687,,,1,,3,,3,1,
370703,,,,,1,,,,
370704,,,,,,4,1,,
370724,,,,1,,,,1,
370725,,,,2,1,,,,
370781,1,,,2,1,1,1,1,1
370783,,,1,2,1,1,,1,
370784,,,,,,1,1,1,1
370785,,,,,,,3,1,
370786,,,,,,1,1,,
370802,,,,1,,,,,
370811,,5,2,1,,,,,1
370826,1,2,2,,2,,2,,
370827,,2,1,1,,1,,,
370828,1,,2,2,,,,,1
370829,,1,,1,,,,,
370830,,3,1,1,3,,,,
370831,,3,2,1,1,,,1,
370832,,1,1,,,1,,,1
370881,,5,,3,1,,,,
370882,,4,,1,1,,,,
370883,2,10,3,6,2,1,,,
370911,,,,2,2,1,6,1,
370921,,1,1,,3,,2,1,
370923,,,,,,,3,,
370982,,4,9,1,2,4,2,2,1
370983,,,1,,,,,1,
371002,,,,1,,,1,,
371081,,,,,,,,1,
371082,,,,,,2,,,
371083,,,,1,3,,3,1,1
371102,2,,,1,,,2,1,2
371103,1,1,1,,1,,,,1
371121,1,,2,1,1,2,,,
371122,,6,3,3,6,2,1,1,1
371202,,,1,,3,,,,
371203,,,2,1,,,,,
371302,1,,,,,,1,,
371312,,1,2,1,1,,,,
371321,,1,3,,,,,,
